session,method,gender,emotion,n_annotators,agreement,path,audio_path,utterance_id,oracle_transcript
2,impro,F,hap,4,2,Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F023.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro07/Ses02F_impro07_F023.wav,Ses02F_impro07_F023,"So, um, so I don't know."
2,script,M,sad,3,3,Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M021.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M021.wav,Ses02M_script01_3_M021,No.  Nothing like that.
2,script,M,neu,3,2,Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_F006.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script03_2/Ses02M_script03_2_F006.wav,Ses02M_script03_2_F006,"It gave him a lot of pleasure, it didn't hurt me any."
3,script,M,neu,3,2,Session3/sentences/wav/Ses03M_script03_2/Ses03M_script03_2_F017.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script03_2/Ses03M_script03_2_F017.wav,Ses03M_script03_2_F017,That's the woman's job to lure the man.  Watch me a moment won't you?
2,impro,F,sad,4,4,Session2/sentences/wav/Ses02F_impro06/Ses02F_impro06_F007.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro06/Ses02F_impro06_F007.wav,Ses02F_impro06_F007,"He was so young, you know.  And all the stories he used to tell me about..."
4,script,F,fru,3,2,Session4/sentences/wav/Ses04F_script02_1/Ses04F_script02_1_M015.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script02_1/Ses04F_script02_1_M015.wav,Ses04F_script02_1_M015,Are you kidding?  We'd miss it.  We just got here.  What's the point of coming down here if we just turn around and go home?
4,script,F,fru,3,2,Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M040.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M040.wav,Ses04F_script01_1_M040,I want- I want a family.  I want some kids.  I want to build something I give myself to.  Annie is in the middle of that.  Now where do I find it?
2,impro,M,hap,4,2,Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F027.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_F027.wav,Ses02M_impro07_F027,"Okay. Yes, totally come visit"
3,script,F,fru,3,3,Session3/sentences/wav/Ses03F_script01_1/Ses03F_script01_1_F036.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script01_1/Ses03F_script01_1_F036.wav,Ses03F_script01_1_F036,"That's a good answer, but it doesn't answer anything."
3,impro,F,hap,4,4,Session3/sentences/wav/Ses03F_impro07/Ses03F_impro07_M026.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro07/Ses03F_impro07_M026.wav,Ses03F_impro07_M026,"Hell, yeah. Pass out."
2,script,M,hap,3,2,Session2/sentences/wav/Ses02M_script03_1/Ses02M_script03_1_F006.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script03_1/Ses02M_script03_1_F006.wav,Ses02M_script03_1_F006,Behave exquisitely.
3,impro,M,neu,4,4,Session3/sentences/wav/Ses03M_impro05b/Ses03M_impro05b_F012.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro05b/Ses03M_impro05b_F012.wav,Ses03M_impro05b_F012,For tonight- For tonight sir.  Would you need to stay somewhere tonight?
3,impro,M,fru,4,2,Session3/sentences/wav/Ses03M_impro08b/Ses03M_impro08b_F004.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro08b/Ses03M_impro08b_F004.wav,Ses03M_impro08b_F004,Well my phone isn't working and it hasn't been working for the last five days.
3,impro,M,neu,4,3,Session3/sentences/wav/Ses03M_impro08a/Ses03M_impro08a_M012.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro08a/Ses03M_impro08a_M012.wav,Ses03M_impro08a_M012,"Um- Let me connect you to my supervisor.  Actually, he's out right now so I'm supervisor until he comes back. Um-"
1,script,M,neu,3,2,Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_M025.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_M025.wav,Ses01M_script02_2_M025,"Oh right sure, of course."
3,script,M,ang,3,3,Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F031.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F031.wav,Ses03M_script02_2_F031,I want things to turn out the way that they're supposed to be.
3,impro,F,fru,4,3,Session3/sentences/wav/Ses03F_impro02/Ses03F_impro02_F016.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro02/Ses03F_impro02_F016.wav,Ses03F_impro02_F016,"I know, but look, I have to take this. I mean, if I don't, I mean, I could get fired."
2,impro,F,fru,4,3,Session2/sentences/wav/Ses02F_impro04/Ses02F_impro04_F012.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro04/Ses02F_impro04_F012.wav,Ses02F_impro04_F012,Or they'll never talk to me again.
4,script,M,ang,3,2,Session4/sentences/wav/Ses04M_script03_2/Ses04M_script03_2_M008.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script03_2/Ses04M_script03_2_M008.wav,Ses04M_script03_2_M008,"You must admit that he was in love with you, wasn't he?"
1,script,F,fru,3,2,Session1/sentences/wav/Ses01F_script01_2/Ses01F_script01_2_M014.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_2/Ses01F_script01_2_M014.wav,Ses01F_script01_2_M014,Okay. Calm yourself.
2,impro,M,fru,3,2,Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_M010.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_M010.wav,Ses02M_impro04_M010,"Yea, it says I'm stupid enough to be trying this long and not move on somewhere else."
4,script,F,sad,3,2,Session4/sentences/wav/Ses04F_script01_3/Ses04F_script01_3_M027.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_3/Ses04F_script01_3_M027.wav,Ses04F_script01_3_M027,You remember overseas I was in command of a company?
4,impro,F,fru,3,2,Session4/sentences/wav/Ses04F_impro01/Ses04F_impro01_M022.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro01/Ses04F_impro01_M022.wav,Ses04F_impro01_M022,Ma'am you are testing my patience.  Do you understand me?
4,script,M,ang,3,3,Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_F018.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_F018.wav,Ses04M_script02_1_F018,"Last year, you will also remember, our shoes got wet.  I got sand in my panties.  We got into a big fight over nothing.  You got a sore throat and we did not see the grunions."
1,script,F,ang,3,2,Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F016.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script03_2/Ses01F_script03_2_F016.wav,Ses01F_script03_2_F016,Oh.  It's a woman's duty to allure the man.
4,script,F,fru,3,2,Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M024.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_M024.wav,Ses04F_script01_1_M024,"I don't know why it is but every time I reach out for something I want, I have to pull back because other people will suffer. My whole bloody life time after time after time."
2,impro,M,hap,3,2,Session2/sentences/wav/Ses02M_impro03/Ses02M_impro03_M016.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro03/Ses02M_impro03_M016.wav,Ses02M_impro03_M016,"No, yes -- so"
1,impro,M,hap,4,4,Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_M003.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_impro07/Ses01M_impro07_M003.wav,Ses01M_impro07_M003,"Yeah.  Well, I don't--well yeah I can pitch, I'm not like the pitcher though. I'm like the pinch hitter guy I mostly just hit.  But I guess I'm going to have to... Yeah, and then I play shortstop too but... It's so ex- The good news is I get to stay here."
3,script,F,ang,3,2,Session3/sentences/wav/Ses03F_script01_2/Ses03F_script01_2_M014.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script01_2/Ses03F_script01_2_M014.wav,Ses03F_script01_2_M014,Huh?
3,impro,F,neu,4,4,Session3/sentences/wav/Ses03F_impro08/Ses03F_impro08_F013.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro08/Ses03F_impro08_F013.wav,Ses03F_impro08_F013,-on average would use.
3,script,M,fru,3,2,Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F028.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script02_2/Ses03M_script02_2_F028.wav,Ses03M_script02_2_F028,No.
4,script,F,ang,3,3,Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F006.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_2/Ses04F_script01_2_F006.wav,Ses04F_script01_2_F006,"No, line."
4,impro,F,hap,3,3,Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_M038.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro03/Ses04F_impro03_M038.wav,Ses04F_impro03_M038,Just ecstatic.  I can't believe you're my best friend
2,script,M,fru,3,2,Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_F010.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_F010.wav,Ses02M_script01_1_F010,"What do you want to do, argue with him?"
4,script,F,ang,3,2,Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_F014.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_F014.wav,Ses04F_script03_2_F014,What?
2,script,M,sad,3,2,Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M030.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script01_3/Ses02M_script01_3_M030.wav,Ses02M_script01_3_M030,"I got this idea watching 'em go down.  Everything was being destroyed, see, but it seemed that one new thing was made.  A sort of responsibility.  Man for man. You know what I mean?"
2,script,M,hap,3,2,Session2/sentences/wav/Ses02M_script02_2/Ses02M_script02_2_F045.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script02_2/Ses02M_script02_2_F045.wav,Ses02M_script02_2_F045,Or not.
4,impro,M,fru,3,3,Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M003.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_M003.wav,Ses04M_impro05_M003,"lost my luggage. I didn't lose it. No, it's not like I left it somewhere and somebody took it."
1,script,M,neu,3,2,Session1/sentences/wav/Ses01M_script02_1/Ses01M_script02_1_M023.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script02_1/Ses01M_script02_1_M023.wav,Ses01M_script02_1_M023,That's my point too.
3,impro,F,neu,4,3,Session3/sentences/wav/Ses03F_impro01/Ses03F_impro01_M003.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro01/Ses03F_impro01_M003.wav,Ses03F_impro01_M003,Who?
3,impro,M,hap,4,3,Session3/sentences/wav/Ses03M_impro03/Ses03M_impro03_M039.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro03/Ses03M_impro03_M039.wav,Ses03M_impro03_M039,Oh that's great. My mom said we can move in with her again if we run out of money.
4,script,M,fru,3,2,Session4/sentences/wav/Ses04M_script01_1/Ses04M_script01_1_F023.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script01_1/Ses04M_script01_1_F023.wav,Ses04M_script01_1_F023,"Now you can go on from there if you know where to go. But I'm telling you I don't know where to go.  See, I don't know."
4,script,F,ang,3,3,Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_F040.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_2/Ses04F_script03_2_F040.wav,Ses04F_script03_2_F040,"This is the end do you understand?  The end,"
2,impro,F,neu,4,3,Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F020.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro08/Ses02F_impro08_F020.wav,Ses02F_impro08_F020,Okay.  Great.  What time of the day would you like?
4,script,M,hap,3,2,Session4/sentences/wav/Ses04M_script03_1/Ses04M_script03_1_F025.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script03_1/Ses04M_script03_1_F025.wav,Ses04M_script03_1_F025,It went on intermittently for days.
1,script,M,sad,3,2,Session1/sentences/wav/Ses01M_script01_1/Ses01M_script01_1_M024.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script01_1/Ses01M_script01_1_M024.wav,Ses01M_script01_1_M024,"No, I wanted to get this all sorted out first."
4,impro,M,neu,3,2,Session4/sentences/wav/Ses04M_impro04/Ses04M_impro04_F016.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro04/Ses04M_impro04_F016.wav,Ses04M_impro04_F016,Really?  Whose fault is it you don't have a job?
4,script,M,fru,3,2,Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_M019.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_M019.wav,Ses04M_script02_1_M019,"Yeah, but that moment on the beach is the highlight of their little lives.  I mean, all that flopping around is laying eggs or what do you -- spawning or mating, something like that."
2,impro,F,neu,3,3,Session2/sentences/wav/Ses02F_impro05/Ses02F_impro05_M005.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro05/Ses02F_impro05_M005.wav,Ses02F_impro05_M005,"Um, we'd be willing to give you uh fifty dollars for--"
3,script,F,neu,3,2,Session3/sentences/wav/Ses03F_script02_1/Ses03F_script02_1_M020.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script02_1/Ses03F_script02_1_M020.wav,Ses03F_script02_1_M020,"Yeah, that's my point too."
2,script,F,neu,3,2,Session2/sentences/wav/Ses02F_script01_2/Ses02F_script01_2_M002.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script01_2/Ses02F_script01_2_M002.wav,Ses02F_script01_2_M002,What do you mean?  He lived next door to the girl all his life.  Why wouldn't he want to see her again?
2,script,M,fru,3,2,Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_M030.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_M030.wav,Ses02M_script01_1_M030,Because it is.
2,impro,M,hap,3,2,Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M020.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro07/Ses02M_impro07_M020.wav,Ses02M_impro07_M020,Yeah. Right. A cult. I'm looking forward to being in the cult.
3,script,M,neu,3,2,Session3/sentences/wav/Ses03M_script01_1/Ses03M_script01_1_M031.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script01_1/Ses03M_script01_1_M031.wav,Ses03M_script01_1_M031,"And then we'll thrash it out with dad right?  Mom, don't avoid me."
3,impro,M,neu,4,3,Session3/sentences/wav/Ses03M_impro08b/Ses03M_impro08b_M012.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro08b/Ses03M_impro08b_M012.wav,Ses03M_impro08b_M012,Tell them my name.  My name is Brent Backersen.
2,script,M,fru,3,3,Session2/sentences/wav/Ses02M_script02_2/Ses02M_script02_2_M028.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script02_2/Ses02M_script02_2_M028.wav,Ses02M_script02_2_M028,"A new carpet? A poodle, a ice cream, backrub, a suicide pact, what, what Carla, what the hell do you want?"
2,script,F,hap,3,2,Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M045.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_M045.wav,Ses02F_script02_2_M045,Shh.  If we're very quiet the fish might come.
4,script,M,hap,3,2,Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_M029.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_M029.wav,Ses04M_script02_1_M029,Out there someplace is this huge mass of silver fish heading this way.  They don't know why.  We don't know why.  It wasn't a decision.  They didn't take a vote.  No one sent them an invitation or a map;
2,script,M,hap,3,3,Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_M004.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_M004.wav,Ses02M_script02_1_M004,"Is that -- is that, no? Was that just foam? I can't even tell."
4,impro,M,neu,3,2,Session4/sentences/wav/Ses04M_impro08/Ses04M_impro08_M024.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro08/Ses04M_impro08_M024.wav,Ses04M_impro08_M024,"You know, so- I mean, are you doing anything later?  Or um"
1,impro,M,fru,4,3,Session1/sentences/wav/Ses01M_impro01/Ses01M_impro01_F015.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_impro01/Ses01M_impro01_F015.wav,Ses01M_impro01_F015,I am..I don't..I don't understand what you want.  A driver's license or a California ID.
4,script,M,fru,3,2,Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_F009.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script02_1/Ses04M_script02_1_F009.wav,Ses04M_script02_1_F009,That's my point.
4,script,M,fru,3,2,Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M015.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script02_2/Ses04M_script02_2_M015.wav,Ses04M_script02_2_M015,"I've been trying to work this backwards, but I can't seem to pinpoint the moment when we took a turn for the worse."
2,impro,F,sad,4,3,Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F006.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_F006.wav,Ses02F_impro02_F006,"Their not gonna let you.  You have to stay home and I have to go.  I mean, that's all--"
3,impro,F,hap,4,2,Session3/sentences/wav/Ses03F_impro03/Ses03F_impro03_M002.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro03/Ses03F_impro03_M002.wav,Ses03F_impro03_M002,"Oh, Jesus."
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script01_3/Ses01F_script01_3_M037.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_3/Ses01F_script01_3_M037.wav,Ses01F_script01_3_M037,I just want you to know Annie.
2,impro,M,fru,4,4,Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_F005.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro08/Ses02M_impro08_F005.wav,Ses02M_impro08_F005,"Okay. Oh, that would just make it so much better, 'cause I cannot handle it's just like oh, my God I can't sit here any longer and talk to this lady with this pleasant voice."
1,script,M,ang,3,3,Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_F030.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_F030.wav,Ses01M_script02_2_F030,I want something to turn out the way that it's supposed to.
3,script,M,fru,3,2,Session3/sentences/wav/Ses03M_script01_1/Ses03M_script01_1_M035.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script01_1/Ses03M_script01_1_M035.wav,Ses03M_script01_1_M035,Alright then.
3,impro,F,hap,4,4,Session3/sentences/wav/Ses03F_impro03/Ses03F_impro03_F012.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro03/Ses03F_impro03_F012.wav,Ses03F_impro03_F012,"Yeah, I said yes, but I, yeah, I mean,"
4,script,M,ang,3,2,Session4/sentences/wav/Ses04M_script01_1/Ses04M_script01_1_F012.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script01_1/Ses04M_script01_1_F012.wav,Ses04M_script01_1_F012,How are you going to prove it?  Can you prove it?
2,impro,M,fru,4,3,Session2/sentences/wav/Ses02M_impro05/Ses02M_impro05_F022.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro05/Ses02M_impro05_F022.wav,Ses02M_impro05_F022,"I've already looked, thank you very much and because we've filled out paperwork if it shows up we will send it to you but otherwise what we can do is reimburse you for fifty dollar."
3,impro,F,sad,4,4,Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F003.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_impro06/Ses03F_impro06_F003.wav,Ses03F_impro06_F003,It's weird 'cause it's like you expected it to happen and eventually-
1,script,F,neu,3,2,Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_M040.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_script01_1/Ses01F_script01_1_M040.wav,Ses01F_script01_1_M040,Then help me stay here.
4,impro,F,fru,3,3,Session4/sentences/wav/Ses04F_impro04/Ses04F_impro04_F029.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro04/Ses04F_impro04_F029.wav,Ses04F_impro04_F029,I did start somewhere.  I worked my way up.  I'm not going to start at the bottom again.
4,script,M,ang,3,2,Session4/sentences/wav/Ses04M_script01_1/Ses04M_script01_1_F013.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script01_1/Ses04M_script01_1_F013.wav,Ses04M_script01_1_F013,"To you it is and to me, but not to him.  You can talk yourself blue in the face, but there's no body and no grave, so where are you?"
2,impro,M,neu,4,2,Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F006.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro04/Ses02M_impro04_F006.wav,Ses02M_impro04_F006,"Well, I mean you're still here you've tried for this long so I think that says something all in itself."
4,script,F,ang,3,3,Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F015.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F015.wav,Ses04F_script01_1_F015,The trouble is the goddamn newspapers.  Every month some boy turns up from nowhere so the next one is going to be Larry.
4,impro,M,fru,3,2,Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F032.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro05/Ses04M_impro05_F032.wav,Ses04M_impro05_F032,I'm more than happy to not argue about it.  I will give you your fifty dollar certificate.
